Date,Ticker,Open,High,Low,Close,Volume,Adj_Close,Return,SMA_20,SMA_50,SMA_200,Volatility,BB_upper,BB_lower,RSI
2019-01-02,GOOGL,2755.47,2819.23,2711.39,2765.31,715390,2765.31,,,,,,,,
2019-01-03,GOOGL,2728.62,2786.71,2661.96,2724.33,1240941,2724.33,-0.01481931501350664,,,,,,,
2019-01-04,GOOGL,2640.22,2682.43,2640.22,2662.85,778924,2662.85,-0.022567016477445856,,,,,,,
2019-01-07,GOOGL,2666.51,2708.64,2577.52,2643.08,749278,2643.08,-0.00742437613834801,,,,,,,
2019-01-08,GOOGL,2633.18,2664.56,2616.04,2640.3,1012928,2640.3,-0.0010518031992976518,,,,,,,
2019-01-09,GOOGL,2673.19,2673.19,2637.43,2651.31,986747,2651.31,0.004169980684013197,,,,,,,
2019-01-10,GOOGL,2707.81,2759.89,2625.53,2692.71,967664,2692.71,0.015614922434570078,,,,,,,
2019-01-11,GOOGL,2730.12,2745.09,2687.39,2716.24,1446142,2716.24,0.008738408517812823,,,,,,,
2019-01-14,GOOGL,2714.48,2758.43,2658.96,2708.7,1238549,2708.7,-0.0027758960916560715,,,,,,,
2019-01-15,GOOGL,2707.7,2723.9,2677.81,2700.85,1069358,2700.85,-0.002898069184479657,,,,,,,
2019-01-16,GOOGL,2731.25,2768.96,2678.5,2723.73,1291141,2723.73,0.00847140714960104,,,,,,,
2019-01-17,GOOGL,2787.67,2844.69,2716.34,2780.51,807114,2780.51,0.02084641282359123,,,,,,,
2019-01-18,GOOGL,2789.89,2818.68,2755.12,2786.9,1251612,2786.9,0.002298139549938627,,,,,,,
2019-01-21,GOOGL,2793.73,2817.73,2715.89,2766.81,1274510,2766.81,-0.00720872654203597,,,,,,,
2019-01-22,GOOGL,2736.6,2747.8,2700.09,2723.94,657771,2723.94,-0.015494378002103515,,,,,,,44.33830573252845
2019-01-23,GOOGL,2677.15,2708.99,2615.82,2662.4,1787108,2662.4,-0.02259227442601519,,,,,,,41.97610841753865
2019-01-24,GOOGL,2711.72,2723.24,2660.1,2691.67,843452,2691.67,0.01099384014423066,,,,,,,54.07407407193377
2019-01-25,GOOGL,2701.96,2742.48,2692.35,2717.42,1244141,2717.42,0.009566551620369568,,,,,,,60.334185940712125
2019-01-28,GOOGL,2720.55,2774.28,2712.48,2743.38,1911878,2743.38,0.009553179118428456,,,,,,,63.46183983469554
2019-01-29,GOOGL,2737.55,2761.97,2715.0,2738.49,1737751,2738.49,-0.0017824727161386278,2712.0465,,,,2801.119247861391,2622.9737521386087,61.570313741938755
2019-01-30,GOOGL,2802.38,2866.14,2737.05,2801.59,1216593,2801.59,0.023041895351087804,2713.8605,,,0.20856893230019619,2808.785966046844,2618.9350339531557,63.663286816355566
2019-01-31,GOOGL,2799.04,2816.72,2744.74,2780.73,1038027,2780.73,-0.007445771865262296,2716.6805,,,0.20283966116964203,2816.1574278671933,2617.2035721328066,58.147408846516775
2019-02-01,GOOGL,2821.15,2852.3,2796.35,2824.33,1752995,2824.33,0.015679336001697353,2724.7545,,,0.18857690932356633,2831.7628948453034,2617.7461051546966,63.388370421491224
2019-02-04,GOOGL,2827.35,2862.78,2783.91,2823.34,1571765,2823.34,-0.0003505256113838229,2733.7675,,,0.18502125809662986,2842.1673224653814,2625.3676775346185,64.41160552297396
2019-02-05,GOOGL,2798.27,2828.67,2764.84,2796.76,937044,2796.76,-0.009414381548095485,2741.5905,,,0.18998582323604135,2844.006444579984,2639.1745554200156,58.51820747703537
2019-02-06,GOOGL,2798.08,2880.33,2768.0,2824.17,873160,2824.17,0.009800626439165239,2750.2335,,,0.1915103542851518,2849.7033031459523,2650.7636968540473,55.46706736594904
2019-02-07,GOOGL,2850.06,2912.96,2774.06,2843.51,523813,2843.51,0.006848029686598256,2757.7735000000002,,,0.18645365994788046,2861.64808901559,2653.8989109844106,56.86597937951214
2019-02-08,GOOGL,2879.34,2899.94,2821.21,2860.58,1276260,2860.58,0.006003144001603511,2764.9905000000003,,,0.18554760579238186,2876.4918445234007,2653.4891554766,61.45688243564646
2019-02-11,GOOGL,2845.45,2928.74,2801.41,2865.08,1160954,2865.08,0.001573107551615438,2772.8095000000003,,,0.18449789293139307,2889.5017755708127,2656.117224429188,69.02874399782556
2019-02-12,GOOGL,2869.52,2910.85,2817.39,2864.12,1890418,2864.12,-0.0003350691778239989,2780.973,,,0.18365670505199988,2899.301487667526,2662.644512332474,82.50612349763084
2019-02-13,GOOGL,2982.07,3000.74,2952.25,2976.5,1385337,2976.5,0.03923718279960342,2793.6115,,,0.22387319141188342,2937.444122209214,2649.778877790786,86.20198784614036
2019-02-14,GOOGL,3013.88,3091.34,2977.18,3034.26,2046258,3034.26,0.0194053418444482,2806.299,,,0.22253555286132798,2985.6473868605267,2626.9506131394733,87.24024447291637
2019-02-15,GOOGL,3047.27,3117.27,3023.51,3070.39,907897,3070.39,0.0119073513805672,2820.4735,,,0.22390224028721353,3034.7714551220056,2606.1755448779945,87.53816837425545
2019-02-18,GOOGL,3106.26,3132.14,3021.31,3076.72,1891900,3076.72,0.0020616273502713778,2835.969,,,0.21960257404603217,3077.0706171789707,2594.8673828210294,88.69819912303663
2019-02-19,GOOGL,3120.91,3198.84,3056.27,3127.56,971178,3127.56,0.016524090589979057,2856.15,,,0.20829171363115526,3123.8681592645503,2588.43184073545,88.3719835168047
2019-02-20,GOOGL,3137.25,3198.0,3110.88,3154.44,1637809,3154.44,0.008594559336991159,2880.752,,,0.17648855800183952,3163.512640572271,2597.991359427729,93.37697610950796
2019-02-21,GOOGL,3135.87,3229.3,3083.95,3156.62,669528,3156.62,0.0006910893851206357,2903.9995,,,0.17839305057745244,3197.5518731250813,2610.4471268749185,92.672402719154
2019-02-22,GOOGL,3152.72,3205.07,3079.3,3142.18,1318343,3142.18,-0.00457451324517999,2925.2375,,,0.18378739018388207,3223.378659705474,2627.0963402945263,89.57795431664822
2019-02-25,GOOGL,3145.84,3185.34,3092.6,3138.97,542507,3138.97,-0.0010215837412242967,2945.017,,,0.1859275257394432,3244.8427657619422,2645.1912342380574,95.09527448717458
2019-02-26,GOOGL,2993.09,3035.45,2933.6,2984.52,1078387,2984.52,-0.049204038267329664,2957.3185000000003,,,0.2715288425992695,3241.2325432762564,2673.4044567237443,65.83015775678396
2019-02-27,GOOGL,2970.73,3029.89,2960.93,2995.41,1431128,2995.41,0.0036488279522335354,2967.0095,,,0.2624938983156324,3241.621345067865,2692.397654932135,65.25039154870585
2019-02-28,GOOGL,2996.3,3046.25,2899.55,2972.9,974270,2972.9,-0.007514831024801216,2976.618,,,0.2625321391886236,3236.858209409849,2716.3777905901507,61.15480872193192
2019-03-01,GOOGL,3043.71,3106.43,2994.5,3050.46,788318,3050.46,0.026089004002825433,2987.9245,,,0.2713994111552103,3239.8216630165516,2736.0273369834485,66.07749947803185
2019-03-04,GOOGL,3040.84,3070.17,3034.3,3052.24,1683321,3052.24,0.0005835185513003438,2999.3695,,,0.2712210898288896,3240.344066858474,2758.3949331415256,66.29195967553247
2019-03-05,GOOGL,2993.28,3030.08,2960.99,2995.54,1151351,2995.54,-0.018576520850260736,3009.3085,,,0.2790873697725135,3230.698798392009,2787.9182016079913,51.824943448365694
